feature,importance
lifetime_mean,0.46221098349552325
lifetime_max,0.05380355391112674
lifetime_std,0.048991609006167884
gross_gbp,0.03838194786468826
lifetime_sum,0.03600951185889779
days_since_last_order,0.030191598239757908
net_gbp,0.03009560052795389
net_gbp_roll_14d_max,0.02638006810595721
net_gbp_roll_14d_mean,0.02571991407073166
avg_order_value,0.021670098654800966
gross_gbp_roll_7d_mean,0.02140048951207946
net_gbp_roll_30d_max,0.021367858801800508
net_gbp_roll_30d_mean,0.01992457107335753
net_gbp_roll_7d_mean,0.019844359576566245
gross_gbp_roll_14d_max,0.019666891064098233
net_gbp_roll_7d_max,0.01839213776630913
gross_gbp_roll_30d_mean,0.01679917246460663
gross_gbp_roll_7d_max,0.01670257765506658
gross_gbp_roll_14d_mean,0.013946331517095635
gross_gbp_roll_30d_max,0.009775936440340775
items,0.009367763660237395
gross_gbp_roll_7d_std,0.009331155099963712
gross_gbp_roll_30d_std,0.006285466883201599
net_gbp_roll_14d_std,0.005678371199880074
net_gbp_roll_7d_std,0.005319182613239471
gross_gbp_roll_14d_std,0.004971673058287972
net_gbp_roll_30d_std,0.0028809464244350857
unique_products,0.002537097511489438
day_of_month,0.0010134743595983566
day_of_week,0.0009454548941404585
rolling_order_freq_30d,0.0003316647542963427
days_since_last_return,6.253793430363617e-05
orders,0.0
is_month_start,0.0
is_weekend,0.0
quarter,0.0
month,0.0
spend_trend_30d,0.0
return_rate,0.0
returns_gbp,0.0
is_month_end,0.0
